idade;sexo;educ;partido;candidato;renda;filhos
42;Female;High School Degree;Independent;Baidem;21629,74504817670;1
40;Female;High School Degree;Socialist Party;None;17769,13947451460;2
35;Male;High School Degree;Independent;Baidem;11599,71606406630;5
36;Female;No High School Degree;Conservative Party;Trampi;16445,83581948400;1
35;Female;High School Degree;Independent;Baidem;13093,31884016740;2
45;Female;College Incomplete;Independent;Baidem;17964,75304995680;1
48;Female;No High School Degree;Socialist Party;Baidem;12213,09448898150;1
38;Female;College Incomplete;Independent;Baidem;20837,49490194440;2
30;Female;High School Degree;Independent;Trampi;5910,97236983280;2
42;Male;College Degree or more;Conservative Party;Baidem;18212,44107308390;5
39;Female;No High School Degree;Independent;Trampi;13575,39509315070;2
38;Female;College Degree or more;Independent;Baidem;11683,03200048270;1
36;Male;High School Degree;Independent;Trampi;13647,09851428760;2
43;Female;High School Degree;Independent;Baidem;17067,85558286150;4
42;Female;College Degree or more;Independent;Baidem;21371,65885623990;0
31;Female;High School Degree;Independent;None;9025,78919719024;0
40;Male;High School Degree;Socialist Party;Baidem;17891,39843234880;1
28;Female;College Degree or more;Independent;Trampi;14905,90914949940;5
34;Female;High School Degree;Independent;Trampi;15215,12655859740;1
42;Female;College Incomplete;Conservative Party;Trampi;13941,71898585030;3
35;Female;No High School Degree;Conservative Party;Trampi;14215,96985029140;2
35;Male;High School Degree;Socialist Party;Trampi;18361,57424440130;1
43;Female;High School Degree;Independent;Trampi;12151,03672062800;4
35;Female;College Degree or more;Independent;Other;6326,89735518634;2
42;Male;High School Degree;Socialist Party;Trampi;17095,97195712470;3
48;Male;High School Degree;Independent;Other;12617,18457276090;2
33;Female;College Incomplete;Independent;Trampi;14721,16732425380;1
47;Male;High School Degree;Independent;Trampi;8152,85575092127;1
36;Female;College Incomplete;Independent;Trampi;20763,42763139550;4
45;Male;College Incomplete;Independent;None;17509,09512128700;3
38;Female;High School Degree;Socialist Party;None;7409,03179524190;1
40;Male;College Incomplete;Socialist Party;Trampi;22762,21846211270;4
41;Female;College Degree or more;Socialist Party;Baidem;16098,29628196090;4
39;Female;No High School Degree;Independent;Baidem;13763,66471534230;2
38;Female;College Degree or more;Conservative Party;Baidem;14363,71470944180;2
39;Female;College Degree or more;Independent;Trampi;17254,29536050760;0
46;Female;College Incomplete;Conservative Party;Trampi;20493,13645689150;4
40;Male;High School Degree;Conservative Party;None;10560,73389475690;3
40;Male;High School Degree;Socialist Party;Baidem;26361,24798857210;4
41;Male;High School Degree;Conservative Party;Baidem;29127,53341216710;0
44;Male;High School Degree;Independent;Trampi;12965,53586728680;3
39;Female;College Incomplete;Independent;Baidem;4318,40278573373;0
44;Male;High School Degree;Socialist Party;Baidem;42461,20932817460;1
40;Male;College Degree or more;Conservative Party;Trampi;13906,13391689620;3
38;Female;College Degree or more;Independent;Other;10782,57286855150;1
35;Male;High School Degree;Independent;Trampi;14722,16830535000;0
44;Female;High School Degree;Conservative Party;Trampi;9037,50126660650;0
38;Male;High School Degree;Independent;Trampi;23710,03459835490;0
38;Female;College Degree or more;Conservative Party;Trampi;12801,60320344990;1
31;Male;High School Degree;Socialist Party;Trampi;15109,79998575200;1
40;Female;High School Degree;Independent;Trampi;2694,99263348849;1
43;Male;College Incomplete;Independent;Trampi;27967,03005040780;1
51;Male;High School Degree;Independent;None;16328,63072681870;1
37;Male;College Incomplete;Conservative Party;Baidem;4921,09654825522;1
38;Male;College Degree or more;Independent;Other;28747,73384117560;0
33;Female;College Incomplete;Independent;Baidem;15243,72025677760;1
49;Female;College Degree or more;Independent;Trampi;12965,55178504340;1
37;Male;College Degree or more;Socialist Party;None;6597,91139319976;1
34;Female;High School Degree;Conservative Party;None;6973,74931910490;1
33;Female;College Degree or more;Conservative Party;Baidem;13805,12534224770;1
37;Male;College Degree or more;Conservative Party;Baidem;21729,83837236230;2
29;Female;College Incomplete;Independent;Baidem;9900,91602507078;0
48;Male;College Degree or more;Independent;Baidem;26170,17489691080;5
32;Female;No High School Degree;Independent;Baidem;10704,89234478530;4
39;Female;College Degree or more;Conservative Party;Baidem;14675,12491247790;1
44;Male;High School Degree;Conservative Party;Trampi;25996,94015001130;1
46;Female;College Degree or more;Independent;Trampi;20307,91377590600;1
40;Male;High School Degree;Independent;None;31695,43250409730;3
39;Female;High School Degree;Independent;Trampi;7914,48156127488;1
42;Male;College Incomplete;Conservative Party;Other;24709,63237362800;2
43;Female;High School Degree;Independent;Baidem;12415,95715303790;0
35;Female;College Degree or more;Socialist Party;Baidem;10512,87131796010;2
36;Male;College Degree or more;Conservative Party;None;22288,81473514210;0
44;Female;College Incomplete;Independent;Trampi;14486,30195813840;2
37;Male;High School Degree;Independent;None;22972,49270386490;0
37;Female;College Incomplete;Conservative Party;Other;10624,65208137690;2
41;Female;High School Degree;Independent;Trampi;18370,68144292620;1
40;Female;High School Degree;Conservative Party;Trampi;9288,97683392082;1
33;Female;No High School Degree;Independent;Trampi;10530,87252013160;1
38;Female;College Degree or more;Socialist Party;Trampi;10377,17438530090;1
38;Female;No High School Degree;Independent;Baidem;17637,26407809580;2
34;Female;College Degree or more;Socialist Party;Baidem;12136,91859547100;1
39;Female;College Incomplete;Independent;Trampi;14392,02432582790;0
42;Female;College Incomplete;Socialist Party;None;14678,33163080230;1
40;Male;High School Degree;Socialist Party;Trampi;26815,03472573480;2
47;Male;College Incomplete;Independent;Trampi;31314,67297205590;1
43;Male;College Degree or more;Independent;Trampi;27298,06755053420;0
35;Male;High School Degree;Socialist Party;None;24098,30448864710;0
44;Female;College Degree or more;Independent;Baidem;11812,92127576010;4
33;Male;College Degree or more;Independent;Baidem;36119,36674692320;1
36;Female;High School Degree;Conservative Party;Other;11732,44210452460;0
51;Male;High School Degree;Independent;Trampi;21254,26366153450;1
38;Female;High School Degree;Independent;Baidem;16678,07492318830;2
43;Female;High School Degree;Independent;Baidem;17365,06071821420;4
42;Female;College Degree or more;Independent;Baidem;22856,53270625860;0
38;Male;High School Degree;Conservative Party;Baidem;9911,42800628751;2
35;Female;College Incomplete;Independent;Trampi;6032,03969870335;1
33;Male;High School Degree;Independent;Trampi;24775,12027044040;3
37;Male;College Incomplete;Independent;Trampi;26366,96574819380;6
43;Male;High School Degree;Independent;Trampi;21527,24824392510;1
45;Female;High School Degree;Independent;Trampi;25304,74087581880;2
43;Female;College Degree or more;Independent;Trampi;12814,04636183120;1
46;Male;High School Degree;Socialist Party;Trampi;22570,09645198220;0
46;Male;High School Degree;Independent;Baidem;20663,32321868560;2
45;Male;College Degree or more;Conservative Party;Trampi;26754,15256047490;0
43;Female;High School Degree;Independent;Other;13608,57675608880;2
33;Female;High School Degree;Socialist Party;Trampi;7758,87929264541;2
36;Female;High School Degree;Independent;Trampi;8172,62867275915;1
41;Male;College Degree or more;Independent;Trampi;23375,86544735340;1
24;Female;High School Degree;Independent;Baidem;2605,94604801508;1
45;Male;No High School Degree;Independent;Baidem;32725,12707723670;2
34;Male;College Incomplete;Independent;Baidem;26417,13592733640;1
40;Male;College Degree or more;Independent;Baidem;17519,82234149020;2
35;Female;College Degree or more;Independent;Baidem;13395,36644433730;1
34;Female;No High School Degree;Independent;Baidem;15851,08613213630;3
29;Female;High School Degree;Independent;Baidem;11445,79436399280;1
38;Female;High School Degree;Conservative Party;Other;12779,78898947110;2
37;Male;High School Degree;Independent;Baidem;12271,43102851380;4
34;Male;College Degree or more;Independent;Trampi;22354,78175589850;2
37;Male;No High School Degree;Independent;Trampi;25904,49576672240;2
37;Female;High School Degree;Independent;Baidem;16119,89771286670;1
36;Female;High School Degree;Conservative Party;Trampi;20877,61993934760;0
37;Female;High School Degree;Conservative Party;Baidem;8038,26245680238;0
44;Male;College Degree or more;Independent;Other;31699,23274268000;1
36;Female;College Incomplete;Conservative Party;Baidem;4233,40420967725;0
37;Female;High School Degree;Independent;Trampi;14743,75426247270;1
35;Male;College Incomplete;Independent;Trampi;28137,18842383350;1
44;Female;College Degree or more;Independent;Other;8897,31705254970;0
32;Female;College Degree or more;Independent;Baidem;15210,70299048000;1
41;Male;High School Degree;Independent;Trampi;18404,72536754720;7
26;Female;College Degree or more;Conservative Party;Baidem;9013,64023486639;1
49;Female;High School Degree;Independent;Baidem;11764,97504468340;1
30;Female;High School Degree;Independent;Baidem;6679,82982496063;1
38;Female;College Incomplete;Conservative Party;Trampi;19666,82479154900;2
35;Female;College Degree or more;Independent;None;12421,36608044300;2
31;Female;College Incomplete;Socialist Party;Trampi;12468,63524280870;2
48;Female;College Degree or more;Independent;Trampi;19434,90866649240;2
39;Female;College Incomplete;Independent;Baidem;11655,64807332020;2
45;Male;College Degree or more;Independent;Trampi;32790,40721814430;1
38;Male;No High School Degree;Independent;None;21366,45573743140;2
39;Female;College Degree or more;Socialist Party;None;7614,98950968385;1
35;Female;No High School Degree;Independent;Baidem;7169,25285731646;3
32;Male;College Degree or more;Independent;Other;18636,41549452980;1
34;Female;College Incomplete;Independent;Other;18408,03598045460;3
31;Female;College Incomplete;Socialist Party;Baidem;11369,54106312520;0
44;Male;College Degree or more;Conservative Party;Trampi;16690,09954031640;3
39;Female;No High School Degree;Socialist Party;Baidem;11095,24851739610;1
24;Male;No High School Degree;Independent;Trampi;8827,18885007520;1
43;Female;High School Degree;Independent;Baidem;13295,79563898240;1
40;Male;High School Degree;Socialist Party;Baidem;18243,96044361750;2
36;Male;High School Degree;Independent;Baidem;33615,98199240090;2
35;Female;No High School Degree;Independent;Other;12600,66971386850;1
37;Female;High School Degree;Socialist Party;Baidem;15227,11437779780;2
37;Female;College Incomplete;Socialist Party;Trampi;21176,51658899570;3
41;Male;High School Degree;Socialist Party;Baidem;15911,99684887050;2
42;Female;No High School Degree;Conservative Party;Trampi;17703,98407971350;2
38;Female;High School Degree;Independent;Trampi;7558,09296973098;1
38;Female;High School Degree;Conservative Party;Baidem;21786,77688382790;4
39;Male;High School Degree;Independent;Other;34918,77790188850;2
39;Male;High School Degree;Independent;Trampi;19568,34544814470;4
45;Male;College Degree or more;Conservative Party;Baidem;20817,65208854640;1
40;Female;College Incomplete;Conservative Party;Trampi;17429,17433599830;1
